Category,Unhealthy_Food,Healthy_Alternative,Recipe_URL,Recipe_Ingredients,Recipe_Instructions
Vegan,Fried Falafel,Baked Falafel,https://minimalistbaker.com/baked-falafel/,"this recipe is simple, requiring just 7 ingredients. plus, it’s seriously well spiced with infusions from both garlic and cumin for a tangy, smoky flavor that i absolutely adore. | hi moi, we have several versions of falafel on the site using different methods and ingredients. here are some of the others: https://minimalistbaker.com/easy-vegan-falafel/, https://minimalistbaker.com/classic-vegan-falafel-gf/, https://minimalistbaker.com/kale-falafel-hummus-wraps/. hope that helps! | i just made this recipe and it turned out beautifully. admittedly, l eyeballed the measurements, but l added all the above ingredients until l achieved a lovely clingy texture. i also added a splash of olive oil and some fresh mint leaves for good measure. am eating it tonight with homemade hummus in a wrap with veggies. yum! thanks for the recipe!","hi marisa, sorry you had trouble with the texture. we’ve since improved upon our falafel methods and highly recommend this recipe! | hi moi, we have several versions of falafel on the site using different methods and ingredients. here are some of the others: https://minimalistbaker.com/easy-vegan-falafel/, https://minimalistbaker.com/classic-vegan-falafel-gf/, https://minimalistbaker.com/kale-falafel-hummus-wraps/. hope that helps! | hi julie. sorry you had trouble with the texture. i’ve since improved upon my falafel methods and highly recommend this recipe!"
Vegan,Vegan Pancakes with sugar,Oats Banana Pancakes,https://www.veganricha.com/oatmeal-pancakes/,,
Dairy,Full-Fat Milkshake,Almond Milk Smoothie,https://www.indianveggiedelight.com/banana-almond-smoothie/,,
Dairy,Cheese Dip,Greek Yogurt Dip,https://www.simplyrecipes.com/recipes/herbed_yogurt_cheese_dip/,,
Dairy,Cream Pasta,Cottage Cheese Sauce Pasta,https://www.archanaskitchen.com/creamy-cottage-cheese-pasta,,
Dairy,Paneer Pakora,Grilled Paneer,https://www.vegrecipesofindia.com/tandoori-paneer-tikka-oven-stovetop/,,
Dairy,Cheese Pizza,Thin Crust Veg Pizza,https://www.vegrecipesofindia.com/veg-pizza-recipe/,"i promise you’ll never want to order delivery again after you see how easy it is to make pizza at home using fresh ingredients. | not only is this homemade pizza recipe wholesome to make with no artificial ingredients, you don’t need any special kitchen equipment either. ",this recipe includes instructions for how to create a chewy crust that’s lightly crisp on the bottom using all-purpose flour or bread flour. it makes a dough that is far better (and cheaper!) than any store bought dough or restaurant pizza i have tried. | i hear you! i know that every kitchen does not have a pizza stone. so i have kept this recipe simple enough where you do not need a pizza stone. just use a metal pan or tray and you will get a crisp crust if you follow my outlined steps below.  | usually instant yeast can be mixed directly in the flour or in water at room temperature. but i am detailing this method as it can be implemented if you are using dry active yeast. add 2 teaspoons dry active yeast for this pizza crust recipe. 
Dairy,Butter Paratha,Ghee-free Tawa Roti,https://www.indianhealthyrecipes.com/chapati-recipe-roti-recipe/,,
Dairy,Ice Cream,Frozen Yogurt,https://www.liveeatlearn.com/how-to-make-frozen-yogurt/,,
Dairy,Malai Kofta,Baked Kofta in Tomato Gravy,https://www.vegrecipesofindia.com/malai-kofta/,"‘malai’ means cream and ‘kofta’ are fried balls of various ingredients, popular not only in indian cuisine, but also in middle eastern, balkan and asian meals as well.  | 3. add the following listed ingredients to the mashed potatoes:",
Dairy,Milk Tea,Herbal Tulsi Tea,https://www.indianhealthyrecipes.com/tulsi-tea-recipe/,,
Dairy,Creamy Lassi,Low-fat Curd Smoothie,https://www.indianhealthyrecipes.com/sweet-lassi-recipe/,,
Desserts,Gulab Jamun,Baked Jamun with Dates Syrup,https://www.vegrecipesofindia.com/baked-gulab-jamun/,,
Desserts,Rasgulla,Low-Sugar Rasgulla,https://www.tarladalal.com/rasgulla--rosogolla-rasagola--4070r,,
Desserts,Chocolate Brownie,Oats Banana Brownie,https://www.veganricha.com/gluten-free-banana-brownies/,,
Desserts,Ice Cream,Banana Almond Ice Cream,https://www.feastingonfruit.com/banana-nice-cream-3-ways/,,
Desserts,Cheesecake,Greek Yogurt Cheesecake,https://www.eatingwell.com/recipe/249336/no-bake-greek-yogurt-cheesecake/,,
Desserts,Custard,Oats Milk Custard,https://www.archanaskitchen.com/eggless-oats-milk-custard,,
Desserts,Halwa with ghee,Carrot Halwa with Dates & Coconut Oil,https://www.indianhealthyrecipes.com/gajar-ka-halwa-recipe/,,
Desserts,Kheer with sugar,Jaggery Rice Kheer,https://www.vegrecipesofindia.com/gur-wali-kheer-recipe/,,
Desserts,Ladoo with sugar,Ragi Peanut Ladoo,https://www.vegrecipesofindia.com/ragi-ladoo-recipe/,"ragi laddu recipe with step by step photos. this is a quick, easy and tasty ragi ladoo made with three ingredients – ragi (finger millet), jaggery and ghee. | for now sharing this quick recipe of ragi ladoo. you really don’t have to stress over making these ladooos as it requires only 3 main ingredients. get your ragi flour, powdered jaggery and ghee in place and start making the ladoos. other than these, you would need a bit of cardamom powder that goes as the flavoring in this dish.",
Desserts,Ice Cream Sandwich,Fruit & Nut Yogurt Pops,https://www.eatingwell.com/recipe/250631/fruit-yogurt-ice-pop/,,
